stimulus_number,r_score,relative_wav_path
1277044,-1.26087843455025e-06,audio_stimuli\imagined_sentence\distractors\1277044.wav
2068213,-1.1784537718995125e-06,audio_stimuli\imagined_sentence\distractors\2068213.wav
2245097,-1.1769415095841396e-06,audio_stimuli\imagined_sentence\distractors\2245097.wav
2247105,-1.15842283321399e-06,audio_stimuli\imagined_sentence\distractors\2247105.wav
1305579,-1.1202116638742154e-06,audio_stimuli\imagined_sentence\distractors\1305579.wav
1256402,-1.1073775567638222e-06,audio_stimuli\imagined_sentence\distractors\1256402.wav
1861766,-1.0850384342120378e-06,audio_stimuli\imagined_sentence\distractors\1861766.wav
1439174,-1.0107842172146775e-06,audio_stimuli\imagined_sentence\distractors\1439174.wav
653740,-9.896831443256815e-07,audio_stimuli\imagined_sentence\distractors\653740.wav
841353,-9.833752301346976e-07,audio_stimuli\imagined_sentence\distractors\841353.wav
987964,-9.67793653217086e-07,audio_stimuli\imagined_sentence\distractors\987964.wav
2593122,-9.259279636353313e-07,audio_stimuli\imagined_sentence\distractors\2593122.wav
2193294,-9.089723675970163e-07,audio_stimuli\imagined_sentence\distractors\2193294.wav
1210666,-8.698497140358086e-07,audio_stimuli\imagined_sentence\distractors\1210666.wav
1613882,-8.268327178484469e-07,audio_stimuli\imagined_sentence\distractors\1613882.wav
406808,-8.088067602329829e-07,audio_stimuli\imagined_sentence\distractors\406808.wav
1829916,-7.926765874799457e-07,audio_stimuli\imagined_sentence\distractors\1829916.wav
284709,-7.791861662553856e-07,audio_stimuli\imagined_sentence\distractors\284709.wav
146124,-7.63201569498051e-07,audio_stimuli\imagined_sentence\distractors\146124.wav
662816,-7.364886300820217e-07,audio_stimuli\imagined_sentence\distractors\662816.wav
1380994,-7.110813839972252e-07,audio_stimuli\imagined_sentence\distractors\1380994.wav
686519,-7.060921802803932e-07,audio_stimuli\imagined_sentence\distractors\686519.wav
1011161,-6.359292115121207e-07,audio_stimuli\imagined_sentence\distractors\1011161.wav
2278498,-6.109935952736123e-07,audio_stimuli\imagined_sentence\distractors\2278498.wav
2583009,-5.708132562176615e-07,audio_stimuli\imagined_sentence\distractors\2583009.wav
1094276,-5.683785389010154e-07,audio_stimuli\imagined_sentence\distractors\1094276.wav
2386798,-5.172926762497809e-07,audio_stimuli\imagined_sentence\distractors\2386798.wav
1900395,-4.748502533402643e-07,audio_stimuli\imagined_sentence\distractors\1900395.wav
1854324,-4.651017491141829e-07,audio_stimuli\imagined_sentence\distractors\1854324.wav
1995841,-4.631598073956411e-07,audio_stimuli\imagined_sentence\distractors\1995841.wav
2265189,-4.5869364839745685e-07,audio_stimuli\imagined_sentence\distractors\2265189.wav
947574,-4.412036673784314e-07,audio_stimuli\imagined_sentence\distractors\947574.wav
2331984,-3.7953009268676396e-07,audio_stimuli\imagined_sentence\distractors\2331984.wav
1761742,-3.6962623539693595e-07,audio_stimuli\imagined_sentence\distractors\1761742.wav
2316009,-2.7212888653593836e-07,audio_stimuli\imagined_sentence\distractors\2316009.wav
1911376,-1.8840223958704883e-07,audio_stimuli\imagined_sentence\distractors\1911376.wav
2547172,-1.3347715821510064e-07,audio_stimuli\imagined_sentence\distractors\2547172.wav
1667613,-2.2045989922503395e-08,audio_stimuli\imagined_sentence\distractors\1667613.wav
885560,-1.2898969892205514e-08,audio_stimuli\imagined_sentence\distractors\885560.wav
2390255,1.5149721477314415e-08,audio_stimuli\imagined_sentence\distractors\2390255.wav
1278118,1.22719427508855e-07,audio_stimuli\imagined_sentence\distractors\1278118.wav
1013357,1.7303523236478213e-07,audio_stimuli\imagined_sentence\distractors\1013357.wav
242113,2.3995832520995464e-07,audio_stimuli\imagined_sentence\distractors\242113.wav
1229934,2.725427634686639e-07,audio_stimuli\imagined_sentence\distractors\1229934.wav
390825,3.1196364602692483e-07,audio_stimuli\imagined_sentence\distractors\390825.wav
580914,3.1329835792348604e-07,audio_stimuli\imagined_sentence\distractors\580914.wav
54881,3.315208800813707e-07,audio_stimuli\imagined_sentence\distractors\54881.wav
1696160,3.544927551502042e-07,audio_stimuli\imagined_sentence\distractors\1696160.wav
1993314,4.027803299777588e-07,audio_stimuli\imagined_sentence\distractors\1993314.wav
833641,4.377325240056962e-07,audio_stimuli\imagined_sentence\distractors\833641.wav
896935,4.6656222707497363e-07,audio_stimuli\imagined_sentence\distractors\896935.wav
1439869,5.121854655953939e-07,audio_stimuli\imagined_sentence\distractors\1439869.wav
1016368,5.724893981096102e-07,audio_stimuli\imagined_sentence\distractors\1016368.wav
1973354,6.143289397186891e-07,audio_stimuli\imagined_sentence\distractors\1973354.wav
1705344,6.291684258030728e-07,audio_stimuli\imagined_sentence\distractors\1705344.wav
944910,6.332247153295611e-07,audio_stimuli\imagined_sentence\distractors\944910.wav
2123824,6.735666033819143e-07,audio_stimuli\imagined_sentence\distractors\2123824.wav
1816559,6.969825676605979e-07,audio_stimuli\imagined_sentence\distractors\1816559.wav
1397814,7.756652280477283e-07,audio_stimuli\imagined_sentence\distractors\1397814.wav
1097291,9.41156201861304e-07,audio_stimuli\imagined_sentence\distractors\1097291.wav
370220,1.0063960189654608e-06,audio_stimuli\imagined_sentence\distractors\370220.wav
2512436,1.0122221283381805e-06,audio_stimuli\imagined_sentence\distractors\2512436.wav
2645505,1.0476904890310834e-06,audio_stimuli\imagined_sentence\distractors\2645505.wav
1340871,1.0484696986168274e-06,audio_stimuli\imagined_sentence\distractors\1340871.wav
216722,1.0945790336336358e-06,audio_stimuli\imagined_sentence\distractors\216722.wav
1856482,1.0952408047160134e-06,audio_stimuli\imagined_sentence\distractors\1856482.wav
2030647,1.0979392754961737e-06,audio_stimuli\imagined_sentence\distractors\2030647.wav
789231,1.1097019978478784e-06,audio_stimuli\imagined_sentence\distractors\789231.wav
901668,1.1221183058296447e-06,audio_stimuli\imagined_sentence\distractors\901668.wav
1477952,1.1978756901953602e-06,audio_stimuli\imagined_sentence\distractors\1477952.wav
1551844,1.1992509598712786e-06,audio_stimuli\imagined_sentence\distractors\1551844.wav
2018969,1.208236426464282e-06,audio_stimuli\imagined_sentence\distractors\2018969.wav
1754089,1.2373698154988233e-06,audio_stimuli\imagined_sentence\distractors\1754089.wav
2407703,1.2541502201202093e-06,audio_stimuli\imagined_sentence\distractors\2407703.wav
1586906,1.2671582680923166e-06,audio_stimuli\imagined_sentence\distractors\1586906.wav
